"asset_id","runtime_path","source_title","author","source_url","license","source_file","source_sha256"
"sfx_work_stable_without_horse_loop","assets/audio/work/stable/sfx_work_stable_without_horse_loop_v01.ogg","Plants or Straw hay - dried cereals","Vrymaa","https://freesound.org/s/734643/","CC0","09_stable_hay_straw_734643.mp3","cacfb29d9102d6d959ffc25d335ebf9d96f2e273a35dc4a3cdf0c85423a10bf3"
"sfx_work_tavern_loop","assets/audio/work/tavern/sfx_work_tavern_loop_v01.ogg","wine open pour.wav","fryzu82","https://freesound.org/s/142325/","CC0","10_brewing_wine_open_pour_142325.mp3","ecd4772ef2e6dcb4685a71022092d2a2b14763b7c211bfdbab085e5833ab7c40"
"sfx_work_workshop_loop","assets/audio/work/workshop/sfx_work_workshop_loop_v01.ogg","Hand Saw Sawing Wood","deleted_user_7146007","https://freesound.org/s/383725/","CC0","12_workshop_hand_saw_383725.mp3","9e58abb5c2ebe0c27c6e77f2d6261177401b3cb6dc0b9deca41cf6d1bff9044b"
"music_menu","assets/audio/music/menu/music_menu_v01.ogg","It's time for an adventure.wav","AwaziXosh","https://freesound.org/s/566208/","CC0","03_bgm_menu_adventure_566208.mp3","d6e94bb737acac3f6adb1c35ba27d6c71a8010ee2ced3c2fe7abeaa05cb19a7a"
"music_day_night","assets/audio/music/day/music_day_night_v01.ogg","ambient-music","giangallegos","https://freesound.org/s/812170/","CC0","05_bgm_day_medieval_ambient_812170.mp3","abee294d3100c1eac5a8c61d3bf9672e244b6f1e6bd395b983c3901c860421fe"
"music_battle","assets/audio/music/combat/music_battle_v01.ogg","First Battle Fantasy Combat Background Music Loop 135bpm in E Minor","ManuelGraf","https://freesound.org/s/808501/","CC-BY 4.0","10_bgm_battle_first_battle_808501.mp3","d3e97cbcc82e675714ade490cee7b672fa32aac2e5b44ac3a66bec2e92b32ef5"
"sfx_work_training_loop","assets/audio/work/training/sfx_work_training_loop_v01.ogg","Sword Training 1.wav","Thimblerig","https://freesound.org/s/501720/","CC0","01_training_sword_sparring_501720.mp3","0b3a1886b9580172472b74d903ecc5e28b96c395f3d09b64b574d45ef1f411c6"
"sfx_work_clinic_treatment_and_assist_loop","assets/audio/work/clinic/sfx_work_clinic_treatment_and_assist_loop_v01.ogg","Fabric rubbing.mp3","mandy2","https://freesound.org/s/678008/","CC0","06_treatment_bandage_fabric_678008.mp3","aa3bdbeb2776c0b15b2b58fd5cbfdfc1e0d44e7e20555692bf691a296e51fc7a"
"sfx_work_clinic_doctor_reading_loop","assets/audio/work/clinic/sfx_work_clinic_doctor_reading_loop_v01.ogg","Book Page Turn","Kodack","https://freesound.org/s/256475/","CC0","08_chapel_book_pages_256475.mp3","99c0ffb127dfc64214c6ecd5d30f2a5deb3f2419328e5a54f7c070f2e341cd71"
"sfx_work_repair_and_upgrade_loop","assets/audio/work/construction/sfx_work_repair_and_upgrade_loop_v01.ogg","nailing.wav","Mihacappy","https://freesound.org/s/850175/","CC0","09_repair_nailing_850175.mp3","2ae3994abe284f85bcd371ac73b1063c0ffb0a4744aae0a5e4d4f122794a6558"
"sfx_chapel_prayer_presence_loop","assets/audio/work/chapel/sfx_chapel_prayer_presence_loop_v01.ogg","crowd in church.mp3","jaava73","https://freesound.org/s/40626/","CC0","05_chapel_crowd_murmur_40626.mp3","2c4696b97595aba8c120eabbf327e0132a027cc94b09561dcc1649e567bcb761"
"sfx_chapel_mass_start_one_shot","assets/audio/work/chapel/sfx_chapel_mass_start_one_shot_v01.wav","Church bell half hour mark","Sadiquecat","https://freesound.org/s/852491/","CC0","06_chapel_church_bell_852491.mp3","fd4ebeb5a123fba10ef9b54cac4cdaeea415f8e38a9e0f924b792e582888ec86"
"sfx_daily_eating_loop","assets/audio/work/dining_hall/sfx_daily_eating_loop_v01.ogg","spoon clanking in ceramic bowl.wav","simosco","https://freesound.org/s/235573/","CC0","07_eating_spoon_ceramic_bowl_235573.mp3","7e3d57e4af1e71628bdb94389942ae5f8f364ccbf9243aeff8ca88a03e4b2a89"
"sfx_daily_drinking_one_shot","assets/audio/work/dining_hall/sfx_daily_drinking_one_shot_v01.wav","Drink Sip and Swallow","OwlStorm","https://freesound.org/s/320139/","CC0","09_drinking_sip_swallow_320139.mp3","be02337539efacf301e00a898bf78a820a51eb40e96a558c08e137e54ec722fb"
"sfx_chapel_mass_in_progress_loop","assets/audio/work/chapel/sfx_chapel_mass_in_progress_loop_v01.ogg","8_Vatican_071922_2.wav","Thel200ster","https://freesound.org/s/646650/","CC-BY-4.0","07_mass_vatican_singing_646650.mp3","df56e7cb2daa19ccd48c893026000529948b9fc6b22b6a675eae015e9fd9ae0d"
"sfx_ambience_dawn_rooster","assets/audio/ambience/local_emitters/sfx_ambience_dawn_rooster_v01.wav","morning cocorico birds rooster cock poultry","Nimlos","https://freesound.org/s/585511/","CC0","02_dawn_rooster_outdoor_585511.mp3","d80b7824ee83d5150659d087daece6774a9bdf6cf52f0a8f6f0a8f91c233f27e"
"sfx_ambience_day_bird_01","assets/audio/ambience/local_emitters/sfx_ambience_day_bird_01_v01.wav","Sparrows Close Chirp Exterior Birds.wav","Profispiesser","https://freesound.org/s/543827/","CC0","04_day_birds_sparrows_543827.mp3","8ee4c24366fe6b73b08f4a8325adb05853ed11f647ccffff9227f22683764fd2"
"sfx_ambience_day_bird_02","assets/audio/ambience/local_emitters/sfx_ambience_day_bird_02_v01.wav","Woodland Birds.wav","Artemis_R_Swann","https://freesound.org/s/517481/","CC0","05_day_birds_robin_woodland_517481.mp3","552ca784eff824fbb5ac1af0a3280196b65c11cc10836711de7bf4091f26940c"
"sfx_ambience_day_bird_03","assets/audio/ambience/local_emitters/sfx_ambience_day_bird_03_v01.wav","Blackbird.wav","Kimskell","https://freesound.org/s/628029/","CC0","06_day_birds_blackbird_628029.mp3","58abf1a7c88199b89b87c107f771bf0285b8464a0a4e2da86cecaf7448a7e110"
"sfx_ambience_night_insects_local_loop_01","assets/audio/ambience/local_emitters/sfx_ambience_night_insects_local_loop_01_v01.ogg","Outdoors_Night_CricketsLoop.wav","MrFossy","https://freesound.org/s/521843/","CC0","07_night_crickets_loop_521843.mp3","dd0b27aa537795341bf9456cc9854be5775439f0fffec8a191107a86c3bfbab6"
"sfx_ambience_night_insects_local_loop_02","assets/audio/ambience/local_emitters/sfx_ambience_night_insects_local_loop_02_v01.ogg","Night crickets","Vrymaa","https://freesound.org/s/734642/","CC0","08_night_crickets_mountain_734642.mp3","f2ee065f4da77cf2ce3384ba1fa502cbea06898282219a2ff296ebf015b0471e"
"sfx_ambience_night_insects_local_loop_03","assets/audio/ambience/local_emitters/sfx_ambience_night_insects_local_loop_03_v01.ogg","Jackwald's Sounds - Evening Cricket Ambience (Looped)","JackwaldOfficial","https://freesound.org/s/830044/","CC-BY-4.0","09_night_crickets_evening_loop_830044.mp3","18ee18b133509c57ae3e545f3be65db5d65fd75235b44a1a7f2ccd6fe16fe518"
"sfx_ambience_night_owl","assets/audio/ambience/local_emitters/sfx_ambience_night_owl_v01.wav","owl.wav","Anthousai","https://freesound.org/s/398734/","CC0","11_night_owl_field_398734.mp3","e9c494276358bbae6f537198cdac67a2bfba80a383b52326972e9644e6341b34"
"sfx_ambience_river_local_loop","assets/audio/ambience/local_emitters/sfx_ambience_river_local_loop_v01.ogg","River flowing sound.","Tom_Kaszuba","https://freesound.org/s/660262/","CC0","06_river_babbling_660262.mp3","c8cf18b0e889ce2f99d09f8abfe6fc71764e8fe594ad474bfc5e73fd26d4d3e5"
"sfx_ambience_active_fire_loop","assets/audio/ambience/local_emitters/sfx_ambience_active_fire_loop_v01.ogg","Fireplace Fire Crackling","RyanKingArt","https://freesound.org/s/717579/","CC0","08_fire_fireplace_717579.mp3","1b865f4c06b59a6db2d8168dd0033fefaeb5310b84a085e08f71771dde12023b"
"sfx_world_battle_alert_one_shot","assets/audio/world/bell/sfx_world_battle_alert_one_shot_v01.wav","Battle_horn_1.wav","kirmm","https://freesound.org/s/392180/","CC0","11_alert_battle_horn_392180.mp3","d6a796854db10f8d94f4bc456289aff1c5c63cb8a8f65feac00c5904fbbd94dc"
"sfx_foley_run_unified_loop","assets/audio/foley/footsteps/sfx_foley_run_unified_loop_v01.ogg","Running Concrete","LewisEmmott5","https://freesound.org/s/732563/","CC0","11_run_stone_mono_732563.mp3","fefbdec6b4c9a311c07b2fc66fa1a7b85220080764d2021168f23bfb8dd9d306"
"voice_combat_friendly_male_hurt_voice","assets/audio/voice/combat_grunts/voice_combat_friendly_male_hurt_voice_v01.wav","Grunts Male.wav","Dirtjm","https://freesound.org/s/262279/","CC-BY-NC 3.0","01_hurt_grunt_single_262279.mp3","cddc793e1eaed04af7bb70e2cda3df7ded3bfcc90e1c311c31ae5620d9e98c36"
"voice_combat_enemy_hurt_voice","assets/audio/voice/combat_grunts/voice_combat_enemy_hurt_voice_v01.wav","male_hurt1.ogg","micahlg","https://freesound.org/s/413176/","CC0","02_hurt_grunt_short_413176.mp3","715fca2ad2e5a6fdcc86dd7eeace06f69b737a1bbe5f73ff1801b4556c18a117"
"sfx_combat_hit_contact_01","assets/audio/combat/impacts/sfx_combat_hit_contact_01_v01.wav","Sword Hit","qubodup","https://freesound.org/s/442769/","CC0","04_enemy_hit_sword_442769.mp3","93d72e63bb8d9b8a60d2c0ac665c153171515645fbb85f4ec028e4a253e7b167"
"sfx_combat_hit_contact_02","assets/audio/combat/impacts/sfx_combat_hit_contact_02_v01.wav","body_hit.wav","insanity54","https://freesound.org/s/276600/","CC0","05_enemy_hit_body_276600.mp3","81f5997c3dc672d5a5dd259044ba16f8012da0fc402b6903ef42dc27bcaa36fb"
"sfx_combat_hit_contact_03","assets/audio/combat/impacts/sfx_combat_hit_contact_03_v01.wav","Face Punch, Body Impact, 4x","Kinoton","https://freesound.org/s/503277/","CC0","06_enemy_hit_impacts_503277.mp3","35d58e6f09933a1c1bde7c6b9fd0c2d6d1e441d4942cfd5f60271feaa8db32ab"
"sfx_combat_arrow_and_hand_crossbow_bolt_whoosh","assets/audio/combat/projectiles/sfx_combat_arrow_and_hand_crossbow_bolt_whoosh_v01.wav","Arrow Whoosh 1","Ali_6868","https://freesound.org/s/384908/","CC0","07_arrow_whoosh_384908.mp3","8008215c36e5db6bf3211e3fe589494e5a50a4834ad2c70fae16582b49ad4d88"
"sfx_combat_wood_damage_01","assets/audio/combat/structures/sfx_combat_wood_damage_01_v01.wav","Wooden Hit","jackyyang09","https://freesound.org/s/506718/","CC0","10_wood_hit_layered_506718.mp3","bdfe1593a2eeafa731b55bd4e1a62b1e7d3328a71499fd13df85c73fe4c15ebc"
"sfx_combat_wood_damage_02","assets/audio/combat/structures/sfx_combat_wood_damage_02_v01.wav","wood hit.wav","VitaWrap","https://freesound.org/s/345679/","CC-BY 4.0","11_wood_plank_hit_345679.mp3","6ba3a3e3c6a253f30e36343ecba62042176f1cae171ca8714cb6570076933136"
